img_dname,img_name,subject_id,enc_num,img_num,subject_imgcount,age_phd,no_phd,inv_phd,sex,rac,hgt,wgt,img_width,img_height,color_space,label
./data/aa,S001-01-t10_01.jpg,1,1,1,1,31.94,0,0,F,W,503,145,480,600,RGB,Frontal
./data/aa,S001-02-t10_01.jpg,1,2,1,2,32.13,0,0,F,W,504,135,480,600,RGB,Frontal
./data/aa,S001-03-t10_01.jpg,1,3,1,3,34.61,0,0,F,W,503,125,480,600,RGB,Frontal
./data/aa,S001-04-t10_01.jpg,1,4,1,4,34.73,0,0,F,W,503,125,480,600,RGB,Frontal
./data/aa,S001-05-t10_01.jpg,1,5,1,5,35.12,0,0,F,W,503,150,480,600,RGB,Left Angle
./data/aa,S001-06-t10_01.jpg,1,6,1,6,35.22,0,0,F,W,503,110,480,600,RGB,Right Angle
./data/aa,S001-07-t10_01.jpg,1,7,1,7,35.73,0,0,F,W,503,140,480,600,RGB,Frontal
./data/aa,S001-08-t10_01.jpg,1,8,1,8,35.87,0,0,F,W,504,150,480,600,RGB,Left Angle
./data/aa,S001-08-t10_02.jpg,1,8,2,9,35.87,0,0,F,W,504,150,480,600,RGB,Left Profile
./data/aa,S001-08-t10_03.jpg,1,8,3,10,35.87,0,0,F,W,504,150,480,600,RGB,Right Profile
./data/aa,S001-09-t10_01.jpg,1,9,1,11,36.78,0,0,F,W,503,145,480,600,RGB,Frontal
./data/aa,S002-01-t10_01.jpg,2,1,1,1,18.02,0,0,M,W,602,215,480,600,RGB,Frontal
./data/aa,S003-01-t10_01.jpg,3,1,1,1,19.18,0,0,M,B,509,130,480,600,RGB,Frontal
./data/aa,S004-01-t10_01.jpg,4,1,1,1,46.04,0,0,M,W,506,190,480,600,RGB,Frontal
./data/aa,S005-01-t10_01.jpg,5,1,1,1,25.19,0,0,M,W,505,150,480,600,RGB,Frontal
./data/aa,S006-01-t10_01.jpg,6,1,1,1,18.08,0,0,M,B,510,170,480,600,RGB,Frontal
./data/aa,S006-02-t10_01.jpg,6,2,1,2,18.08,0,0,M,B,510,170,480,600,RGB,Frontal
./data/aa,S006-03-t10_01.jpg,6,3,1,3,19.66,0,0,M,B,511,180,480,600,RGB,Frontal
./data/aa,S007-01-t10_01.jpg,7,1,1,1,25.21,0,0,M,B,602,200,480,600,RGB,Frontal
